stock_date,open,high,low,close,adjclose,volume,prev_1day_mean_score,prev_1day_news_count,prev_1day_mean_numeric
2015-01-02,0.503250003,0.507000029,0.495249987,0.503250003,0.483218163,113680000,0.0,0.0,0.0
2015-01-05,0.503250003,0.504750013,0.492500007,0.494749993,0.475056469,197952000,0.0,0.0,0.0
2015-01-06,0.495499998,0.495999992,0.479250014,0.479750007,0.460653573,197764000,0.0,0.0,0.0
2015-01-07,0.483249992,0.487500012,0.476999998,0.478500009,0.459453255,321808000,0.0,0.0,0.0
2015-01-08,0.483999997,0.499500006,0.483749986,0.496499985,0.476736844,283780000,0.0,0.0,0.0
2015-01-09,0.498250008,0.502250016,0.49149999,0.49849999,0.478657126,209540000,0.0,0.0,0.0
2015-01-12,0.499749988,0.5,0.487749994,0.492249995,0.472656012,190732000,0.0,0.0,0.0
2015-01-13,0.495999992,0.505999982,0.488000005,0.49149999,0.471935868,236720000,0.0,0.0,0.0
2015-01-14,0.486250013,0.495000005,0.485000014,0.493499994,0.473856241,155260000,0.0,0.0,0.0
2015-01-15,0.497000009,0.5,0.489749998,0.49000001,0.470495552,188932000,0.0,0.0,0.0
2015-01-16,0.489250004,0.499500006,0.487749994,0.499000013,0.479137272,181512000,0.0,0.0,0.0
2015-01-20,0.502499998,0.505249977,0.49425,0.500500023,0.480577588,140308000,0.0,0.0,0.0
2015-01-21,0.497750014,0.508750021,0.49425,0.507499993,0.487299114,144780000,0.0,0.0,0.0
2015-01-22,0.50849998,0.517750025,0.503250003,0.516250014,0.495700628,159712000,0.0,0.0,0.0
2015-01-23,0.516749978,0.518750012,0.512499988,0.517750025,0.497141004,120416000,0.0,0.0,0.0
2015-01-26,0.515500009,0.518000007,0.512250006,0.515500009,0.494980603,133240000,0.0,0.0,0.0
2015-01-27,0.507499993,0.508000016,0.489749998,0.490750015,0.471215695,357948000,0.0,0.0,0.0
2015-01-28,0.496749997,0.498750001,0.482499987,0.482749999,0.463534206,272728000,0.0,0.0,0.0
2015-01-29,0.48300001,0.497249991,0.480749995,0.494500011,0.474816471,235340000,0.0,0.0,0.0
2015-01-30,0.490999997,0.496749997,0.479250014,0.479999989,0.460893631,298200000,0.0,0.0,0.0
