,date,open,high,low,close,adjclose,volume
0,2015/1/2,0.503250003,0.507000029,0.495249987,0.503250003,0.483218163,113680000
1,2015/1/5,0.503250003,0.504750013,0.492500007,0.494749993,0.475056469,197952000
2,2015/1/6,0.495499998,0.495999992,0.479250014,0.479750007,0.460653573,197764000
3,2015/1/7,0.483249992,0.487500012,0.476999998,0.478500009,0.459453255,321808000
4,2015/1/8,0.483999997,0.499500006,0.483749986,0.496499985,0.476736844,283780000
5,2015/1/9,0.498250008,0.502250016,0.49149999,0.49849999,0.478657126,209540000
6,2015/1/12,0.499749988,0.5,0.487749994,0.492249995,0.472656012,190732000
7,2015/1/13,0.495999992,0.505999982,0.488000005,0.49149999,0.471935868,236720000
8,2015/1/14,0.486250013,0.495000005,0.485000014,0.493499994,0.473856241,155260000
9,2015/1/15,0.497000009,0.5,0.489749998,0.49000001,0.470495552,188932000
10,2015/1/16,0.489250004,0.499500006,0.487749994,0.499000013,0.479137272,181512000
11,2015/1/20,0.502499998,0.505249977,0.49425,0.500500023,0.480577588,140308000
12,2015/1/21,0.497750014,0.508750021,0.49425,0.507499993,0.487299114,144780000
13,2015/1/22,0.50849998,0.517750025,0.503250003,0.516250014,0.495700628,159712000
14,2015/1/23,0.516749978,0.518750012,0.512499988,0.517750025,0.497141004,120416000
15,2015/1/26,0.515500009,0.518000007,0.512250006,0.515500009,0.494980603,133240000
16,2015/1/27,0.507499993,0.508000016,0.489749998,0.490750015,0.471215695,357948000
17,2015/1/28,0.496749997,0.498750001,0.482499987,0.482749999,0.463534206,272728000
18,2015/1/29,0.48300001,0.497249991,0.480749995,0.494500011,0.474816471,235340000
19,2015/1/30,0.490999997,0.496749997,0.479250014,0.479999989,0.460893631,298200000
20,2015/2/2,0.48300001,0.492500007,0.473500013,0.490500003,0.470975697,259604000
21,2015/2/3,0.493999988,0.503250003,0.49149999,0.502749979,0.482737988,183468000
22,2015/2/4,0.501250029,0.509750009,0.499749988,0.504000008,0.483938336,181516000
23,2015/2/5,0.504499972,0.512499988,0.504000008,0.512250006,0.491859794,140448000
24,2015/2/6,0.511749983,0.517750025,0.507749975,0.50999999,0.489699334,210524000
25,2015/2/9,0.507000029,0.510999978,0.503750026,0.509500027,0.489219248,273944000
26,2015/2/10,0.50999999,0.523999989,0.507749975,0.523750007,0.50290221,226204000
27,2015/2/11,0.524999976,0.524999976,0.516749978,0.520250022,0.499541551,320832000
28,2015/2/12,0.550000012,0.5625,0.546750009,0.557500005,0.535308659,676904000
29,2015/2/13,0.556249976,0.558499992,0.547749996,0.557749987,0.535548806,310084000
30,2015/2/17,0.55675,0.562250018,0.553250015,0.559499979,0.537229002,203340000
31,2015/2/18,0.558749974,0.559750021,0.551999986,0.552999973,0.53098768,170948000
32,2015/2/19,0.560000002,0.56099999,0.551999986,0.554499984,0.532428086,169432000
33,2015/2/20,0.55400002,0.558749974,0.550000012,0.558499992,0.53626883,157752000
34,2015/2/23,0.55825001,0.55825001,0.551249981,0.55400002,0.53194803,125008000
35,2015/2/24,0.55400002,0.557749987,0.549000025,0.557749987,0.537610948,149356000
36,2015/2/25,0.555499971,0.558000028,0.550999999,0.553499997,0.533514559,123820000
37,2015/2/26,0.55400002,0.55825001,0.550499976,0.555000007,0.53496027,152864000
38,2015/2/27,0.553499997,0.554750025,0.549499989,0.551500022,0.531586647,157492000
39,2015/3/2,0.550000012,0.568000019,0.549250007,0.564999998,0.544599116,301512000
